dual-target,gene,e log2_fc,a log2_fc,FC1,FC2,estimDownreg,obsUpReg,common
EGR1-NR2C2,HBE1,-0.2592,0.6348,-0.2592,NA,98,18,1
EGR1-GABPA,HBE1,-0.2592,0.5549,-0.2592,NA,84,17,1
ELK1-IRF1,MALAT1,-0.5255,0.2146,-0.2652,-0.2603,105,17,1
NR2C2-YY1,HERPUD1,-0.2641,0.8308,-0.2641,NA,114,31,1
NR2C2-IRF1,ATF4,-0.2017,0.6767,NA,-0.2017,120,32,1
NR2C2-E2F4,MALAT1,-0.471,0.2537,-0.2494,-0.2216,111,9,1
GABPA-YY1,APOE,-0.2467,0.4132,NA,-0.2467,106,26,1
GABPA-E2F4,MALAT1,-0.2216,0.2722,NA,-0.2216,98,70,1
YY1-ETS1,PDIA6,-0.2015,0.3793,NA,-0.2015,112,35,1
YY1-E2F4,GYPB,-0.2254,0.791,-0.2254,NA,111,16,1
ETS1-IRF1,DPAGT1,-0.737,1.066,-0.3526,-0.3844,111,8,1
